code,Name,News_size,Market_cap,Shares_outstanding,Positive,Negitive,None
2330,TSMC,1566,"15,298,924.2","25,930,380,458",531,698,47
2317,HON HAI,1464,"1,483,339.93","13,862,990,609",725,429,122
3008,LARGAN,1343,"277,669.8","134,140,197",389,788,99
2454,MTK,1140,"1,459,667.88","1,598,760,298",552,433,291
2891,CFHC,1040,"452,330.1448","19,496,989,569",393,572,311
2882,CATHAY,1035,"765,131.101","13,169,210,128",415,524,337
2881,Fubon,1035,"868,845.3504","11,804,964,394",424,502,350
2412,CHT,961,"857,197.783","7,757,446,545",624,224,428
2888,SKFH,948,"137,540.06514","14,020,394,063",355,520,401
2883,CDIBH,869,"212,855.941","15,005,100,475",363,457,456
2886,MEGA FHC,867,"454,234.0882","13,599,823,983",305,504,467
2344,WEC,860,"104,674","3,980,000,193",333,465,478
2885,Yuanta  Group,816,"299,794.6445","12,137,435,914",309,466,501
2884,E.S.F.H,815,"354,564.63","13,354,600,000",296,475,505
2890,SINOPACHOLDINGS,812,"159,485.4141","11,271,054,106",348,402,526
2408,NTC,804,"205,956.0195","3,097,083,894",319,411,546
2892,FFHC,786,"296,879.2411","12,964,159,088",311,415,550
2409,AUO,760,"184,785.504","9,624,245,115",413,230,633
3481,INX,739,"175,373.4969","10,501,407,857",370,259,647
2887,TSFHC,732,"208,221.23975","11,409,383,170",278,401,597
2308,DELTA,731,"636,398.035","2,597,543,329",351,312,613
2498,HTC,670,"53,721.7424","818,929,385",384,202,690
3406,GSEO,620,"47,857.3425","112,007,663",216,355,705
4904,Far EasTone,610,"199,420.2","3,258,500,810",481,62,733
2356,INVENTEC,608,"95,247.46125","3,587,475,066",270,263,743
2880,HNFHC,596,"268,500.8304","13,194,144,970",205,358,713
2492,WTC,586,"73,356.404","485,804,299",225,325,726
2357,ASUSTEK,579,"262,194.28","742,760,280",392,123,761
2353,ACER,561,"79,244.178","3,047,853,828",414,92,770
3045,TWM,555,"344,568.5001","3,512,421,461",414,78,784
2618,EVAAIR,555,"96,714.9768","5,130,768,585",253,261,762
6505,FPCC,548,"952,595.9","9,525,959,652",193,300,783
2303,UMC,514,"720,549.602","12,423,269,493",284,188,804
2912,PCSC,513,"292,133.782","1,039,622,255",376,90,810
5880,TCFHC,510,"307,380.5208","13,600,908,200",177,306,793
4938,Pegatron,502,"181,528.108","2,669,531,056",266,148,862
2327,YAGEO,498,"215,228.412","495,918,857",272,176,828
