code,Name,News_size,Market_cap,Shares_outstanding,P,N,None,Negtive,Slightly Negtive,Neutral,Slightly Positive,Positive
2330,TSMC,1566,"15,298,924.20","25,930,380,458",531,698,47,1417,62,5,37,45
2317,HON HAI,1464,"1,483,339.93","13,862,990,609",725,429,122,1339,46,6,32,41
3008,LARGAN,1343,"277,669.80","134,140,197",389,788,99,1220,63,3,27,30
2454,MTK,1140,"1,459,667.88","1,598,760,298",552,433,291,942,88,8,39,63
2891,CFHC,1040,"452,330.14","19,496,989,569",393,572,311,868,100,12,31,29
2882,CATHAY,1035,"765,131.10","13,169,210,128",415,524,337,872,95,8,26,34
2881,Fubon,1035,"868,845.35","11,804,964,394",424,502,350,844,116,10,33,32
2412,CHT,961,"857,197.78","7,757,446,545",624,224,428,849,58,4,29,21
2888,SKFH,948,"137,540.07","14,020,394,063",355,520,401,806,77,9,33,23
2883,CDIBH,869,"212,855.94","15,005,100,475",363,457,456,740,76,5,27,21
2886,MEGA FHC,867,"454,234.09","13,599,823,983",305,504,467,720,80,6,32,29
2344,WEC,860,"104,674","3,980,000,193",333,465,478,787,42,2,14,15
2885,Yuanta  Group,816,"299,794.64","12,137,435,914",309,466,501,704,73,5,25,9
2884,E.S.F.H,815,"354,564.63","13,354,600,000",296,475,505,675,59,6,37,38
2890,SINOPACHOLDINGS,812,"159,485.41","11,271,054,106",348,402,526,672,84,7,27,22
2408,NTC,804,"205,956.02","3,097,083,894",319,411,546,692,71,5,19,17
2892,FFHC,786,"296,879.24","12,964,159,088",311,415,550,627,79,3,42,35
2409,AUO,760,"184,785.50","9,624,245,115",413,230,633,660,42,5,25,28
3481,INX,739,"175,373.50","10,501,407,857",370,259,647,614,48,6,31,40
2887,TSFHC,732,"208,221.24","11,409,383,170",278,401,597,585,72,7,30,38
2308,DELTA,731,"636,398.04","2,597,543,329",351,312,613,631,60,4,18,18
2498,HTC,670,"53,721.74","818,929,385",384,202,690,589,37,7,20,17
3406,GSEO,620,"47,857.34","112,007,663",216,355,705,537,59,,11,13
4904,Far EasTone,610,"199,420.20","3,258,500,810",481,62,733,557,20,4,8,21
2356,INVENTEC,608,"95,247.46","3,587,475,066",270,263,743,551,29,3,11,14
2880,HNFHC,596,"268,500.83","13,194,144,970",205,358,713,477,57,5,22,35
2492,WTC,586,"73,356.40","485,804,299",225,325,726,526,38,,12,10
2357,ASUSTEK,579,"262,194.28","742,760,280",392,123,761,515,30,,13,21
2353,ACER,561,"79,244.18","3,047,853,828",414,92,770,522,18,2,7,12
3045,TWM,555,"344,568.50","3,512,421,461",414,78,784,501,18,2,11,23
2618,EVAAIR,555,"96,714.98","5,130,768,585",253,261,762,482,39,1,26,7
6505,FPCC,548,"952,595.90","9,525,959,652",193,300,783,442,61,4,18,23
2303,UMC,514,"720,549.60","12,423,269,493",284,188,804,456,27,5,12,14
2912,PCSC,513,"292,133.78","1,039,622,255",376,90,810,263,117,12,47,74
5880,TCFHC,510,"307,380.52","13,600,908,200",177,306,793,415,43,2,24,26
4938,Pegatron,502,"181,528.11","2,669,531,056",266,148,862,439,25,1,12,25
2327,YAGEO,498,"215,228.41","495,918,857",272,176,828,453,24,3,8,10
3711,ASEH,480,"437,416.61","4,403,414,582",253,186,837,415,34,2,16,13
6488,GWC,467,"332,310","437,250,000",236,174,865,397,37,3,17,13
6456,GIS,453,"32,813.88","337,939,800",184,243,849,385,38,4,13,13
3231,Wistron,452,"84,778.46","2,903,372,050",267,115,894,413,16,2,7,14
2301,LTC,441,"144,108.15","2,350,867,032",187,228,861,366,45,4,14,12
2382,QCI,440,"301,284.91","3,862,627,432",272,95,909,395,24,4,9,8
6153,Career Tech.,431,"13,904.43","556,177,694",176,215,885,394,24,,11,2
2002,CSC,426,"528,691.30","15,734,860,997",263,116,897,362,26,9,14,15
8454,momo,407,"325,916.04","182,076,050",312,48,916,254,63,4,30,56
2456,CHILISIN,404,"22,683.30","263,481,193",168,216,892,353,35,1,8,7
2313,COMPEQ MFG,402,"48,089.94","1,191,820,589",183,141,952,363,20,3,5,11
2207,HOTAIMOTOR,395,"334,261.55","546,179,184",228,142,906,238,95,5,33,24
3673,TPK,388,"17,283.18","406,663,759",142,214,920,326,34,1,9,18
2337,Macronix,383,"72,757.00","1,856,046,002",208,140,928,342,19,1,8,13
5483,SAS,381,"111,089.00","586,221,651",182,170,924,317,39,3,9,13
3037,UNIMICRON,379,"285,899.08","1,504,732,333",182,136,958,339,18,1,10,11
3682,APT,378,"23,185.52","4,317,196,399",246,94,936,339,21,2,7,9
2324,Compal,377,"107,754.72","4,407,146,625",226,95,955,334,19,,11,13
2610,CAL,373,"97,546.65","5,671,317,760",222,121,933,256,75,5,24,13
3042,TXC,373,"31,750.09","309,757,040",225,100,951,334,13,4,11,11
1301,FPC,367,"684,317.05","6,365,740,781",191,117,968,300,24,3,13,27
2889,Waterland,364,"47,660.38","2,997,508,555",141,205,930,298,32,2,16,16
2474,CATCHER,351,"122,620.50","761,618,069",172,136,968,276,37,5,14,19
2368,GCE,347,"36,286.74","546,487,841",126,205,945,309,24,,8,6
3026,HOLY STONE,342,"18,642.82","157,990,779",115,216,945,294,38,2,5,3
2371,TATUNG CO.,338,"80,480.04","2,339,536,685",161,141,974,304,14,1,5,14
8044,PChome,335,"17,147.62","127,635,909",258,38,980,219,49,4,23,40
1402,FENC,332,"155,768.66","5,352,875,227",149,172,955,271,39,1,14,7
2352,Qisda,327,"60,970.21","1,966,781,958",201,105,970,280,19,1,17,10
3044,Tripod,311,"61,758.59","525,605,898",161,53,1062,288,16,,2,5
2633,THSRC,294,"76,351.91","5,628,293,058",148,125,1003,200,58,7,18,11
3105,WIN,293,"151,594.79","424,041,384",174,92,1010,267,12,,5,9
2027,TC,286,"88,673.73","1,658,465,853",115,164,997,252,24,1,5,4
2395,ACL,285,"280,500.63","772,729,511",212,46,1018,243,21,4,6,11
2383,EMC,275,"80,066.78","332,918,299",121,132,1023,247,16,1,5,6
8086,AWSC,274,"31,344.32","196,516,123",142,113,1021,219,31,2,12,10
1326,FCFC,272,"471,825.47","5,861,186,291",130,96,1050,220,19,2,13,18
6173,P.D.C.,271,"9,322.40","172,000,000",89,173,1014,232,32,,5,2
2834,TBB,263,"73,250.62","7,743,195,295",117,134,1025,207,22,1,12,21
2449,KYEC,262,"48,604.11","1,222,745,065",126,120,1030,234,15,1,5,7
5876,SCSB,261,"197,190.53","4,481,603,140",134,110,1031,187,44,3,16,11
1303,NPC,259,"674,912.87","7,930,821,589",143,79,1054,208,20,1,12,18
2377,MSI,258,"118,279.84","844,856,199",183,53,1040,219,17,1,10,11
5903,FamilyMart,252,"57,813.98","223,220,000",210,23,1043,110,59,4,33,46
6269,FLEXIUM,252,"33,768.68","351,391,759",138,73,1065,234,11,,4,3
6209,KINKO,252,"5,137.31","163,146,931",78,163,1035,206,34,,7,5
2603,EMC,251,"526,439.28","5,290,847,369",146,76,1054,170,35,6,21,19
2015,FH,249,"45,539.20","581,599,424",124,114,1038,233,8,2,3,3
2609,YMTC,248,"285,257.76","3,492,104,270",155,70,1051,145,40,8,28,27
3576,URE,247,"38,906.81","1,507,900,265",131,90,1055,215,14,1,7,10
3260,ADATA,247,"21,660.22","260,264,164",165,58,1053,208,14,5,9,11
4958,ZDT,243,"90,916.70","947,049,161",112,78,1086,229,7,1,2,4
3362,ABILITY,241,"9,497.61","131,545,880",93,135,1048,200,28,1,7,5
2049,HIWIN,233,"105,304.73","340,792,240",151,50,1075,190,14,1,7,21
8477,KUOBROTHERS,230,"1,157.88","31,592,838",198,17,1060,129,32,3,21,45
3532,FST,228,"61,086.06","387,848,300",94,121,1061,192,18,2,9,7
8299,Phison,227,"76,957.39","197,073,993",135,69,1072,196,11,,10,10
1907,YFY,226,"53,131.87","1,660,371,495",118,97,1061,164,34,1,13,14
5469,HSB,224,"22,035.99","528,441,352",89,118,1069,207,10,,4,3
4142,ADIM,224,"18,876.83","429,507,750",119,86,1071,193,13,2,7,9
3034,NOVATEK,222,"252,836.32","608,511,469",135,61,1080,187,12,,13,10
3630,NEWMAX,219,"7,561.08","184,191,848",86,124,1066,161,37,1,9,11
6271,THEIL,214,"47,178.91","178,708,282",99,102,1075,172,27,1,6,8
1216,UNI,214,"378,422.20","5,682,015,421",143,53,1080,153,27,5,11,18
